01_Save_As,Save As,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,1,2025,music,high,,,Hip Hop,,angry,powerful,negative,90,,,,,A minor,E minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400042,850062207226,01113794567,01114263304
02_Dreams,Dreams,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,2,2025,music,high,,,Hip Hop,,energetic,powerful,positive,120,,,,,E minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400043,850062207233,01113794567,01114263304
03_Test_Army,Test Army,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,3,2025,music,high,,,Hip Hop,,powerful,angry,,140,70,,,,E minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400044,850062207240,01113794567,01114263304
04_Dope,Dope,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,4,2025,music,high,,,Hip Hop,,angry,powerful,negative,140,70,,,,C minor,F minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400045,850062207257,01113794567,01114263304
05_Phantoms,Phantoms,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,5,2025,music,medium,,,Hip Hop,,dark,powerful,negative,92,,,,,A minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400046,850062207264,01113794567,01114263304
06_New_Matrix,New Matrix,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,6,2025,music,medium,,,Hip Hop,,angry,powerful,negative,90,,,,,C minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400047,850062207271,01113794567,01114263304
07_Computer_Head,Computer Head,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,7,2025,music,medium,,,Hip Hop,,relaxed,quirky,,140,70,,,,A minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400048,850062207288,01113794567,01114263304
08_Mad,Mad,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,8,2025,music,high,,,Hip Hop,,powerful,energetic,,96,,,,,C major,A minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400049,850062207295,01113794567,01114263304
09_From the Dust,From the Dust,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,9,2025,music,very high,,,Hip Hop,,powerful,quirky,positive,128,64,,,,F# minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400050,850062207301,01113794567,01114263304
10_On_Screen,On Screen,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,New Matrix,10,2025,music,very high,,,Hip Hop,,powerful,quirky,,136,68,,,,D minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400051,850062207318,01113794567,01114263304
