01_Strippers,Strippers,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,1,2025,music,very high,,,Hip Hop,,angry,powerful,negative,90,,,,,E minor,A minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400011,850062207110,01113794567,01114263304
02_Never,Never,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,2,2025,music,high,,,Hip Hop,,quirky,energetic,,145,,,,,A minor,,,,,,vocal,,mixed,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400012,850062207127,01113794567,01114263304
03_Go,Go,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,3,2025,music,very high,,,Hip Hop,,quirky,,positive,150,,,,,A minor,E minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400013,850062207134,01113794567,01114263304
04_Flickin,Flickin,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,4,2025,music,medium,,,Hip Hop,,dark,energetic,,135,68,,,,A minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400014,850062207141,01113794567,01114263304
05_Watch,Watch,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,5,2025,music,high,,,Hip Hop,,powerful,,negative,140,,,,,C minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400015,850062207158,01113794567,01114263304
06_Lets_Dance,Lets Dance,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,6,2025,music,high,,,Hip Hop,,powerful,,,90,,,,,E minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400016,850062207165,01113794567,01114263304
07_Daytime64,Daytime64,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,7,2025,music,very high,,,Hip Hop,,quirky,powerful,,141,,,,,C minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400017,850062207172,01113794567,01114263304
08_Spend_Time,Spend Time,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,8,2025,music,high,,,Hip Hop,,powerful,dark,negative,80,160,,,,A minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400018,850062207189,01113794567,01114263304
09_Down_Low,Down Low,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,9,2025,music,very high,,,Electro Pop,,powerful,quirky,,86,172,,,,A minor,,,,,,vocal,,female,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400019,850062207196,01113794567,01114263304
10_Pressure,Pressure,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Strip Tape,10,2025,music,high,,,Hip Hop,Pop,relaxed,romantic,,86,,,,,E minor,,,,,,vocal,,mixed,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400020,850062207202,01113794567,01114263304
